miRNA_ID,mesh_similarity,doid_similarity,num_sources_mesh,num_sources_doid,mesh_disease_count,doid_disease_count,mesh_max_jaccard,doid_max_jaccard,mesh_jaccard_std,doid_jaccard_std,inter_ontology_agreement
hsa-mir-492,0.0,0.003508771929824561,3,3,22,20,0.0,0.05263157894736842,0.0,0.013128622409733127,0.9964912280701754
hsa-mir-23a,0.021210331758614247,0.021666893243479445,4,4,190,161,0.2608695652173913,0.3181818181818182,0.06158569070810727,0.07279513680147524,0.9995434385151348
hsa-mir-34c,0.05082433064272271,0.06015693331785286,4,4,124,99,0.29411764705882354,0.36,0.08691941939065917,0.11027825876395415,0.9906673973248699
hsa-mir-16-1,0.016487979207277452,0.012254044417787107,4,4,38,41,0.15789473684210525,0.15789473684210525,0.04087124081922498,0.036709855888340026,0.9957660652105097
hsa-mir-125b-2,0.0,0.0,1,1,19,20,0.0,0.0,0.0,0.0,1.0
hsa-mir-29b-1,0.01752185122303968,0.012475633528265107,4,4,42,44,0.15789473684210525,0.15789473684210525,0.039933117127079074,0.038422827844419236,0.9949537823052255
hsa-mir-376c,0.022768807395244176,0.03975455614344503,4,4,33,30,0.125,0.2222222222222222,0.04055759888008606,0.06409942076615781,0.9830142512517992
hsa-mir-152,0.04912235015861347,0.05775578876908449,4,4,99,78,0.25925925925925924,0.38095238095238093,0.08087622841488261,0.10574341905996461,0.9913665613895289
hsa-mir-1202,0.0032679738562091504,0.0,4,4,22,23,0.058823529411764705,0.0,0.013474201390907388,0.0,0.9967320261437909
hsa-mir-1228,0.015082240625718887,0.011742318759862619,4,4,26,27,0.14285714285714285,0.1111111111111111,0.037720595146806854,0.02877253601144278,0.9966600781341437
hsa-mir-769,0.01649184149184149,0.008333333333333333,3,3,27,26,0.125,0.125,0.0360819095290263,0.03118047822311618,0.9918414918414918
hsa-mir-125b-1,0.01358065953654189,0.010927960927960927,3,3,44,39,0.11363636363636363,0.07692307692307693,0.031180633467202706,0.023139020146993504,0.997347301391419
hsa-mir-1225,0.019682539682539683,0.014814814814814814,3,3,23,21,0.2,0.16666666666666666,0.05080952133013983,0.04287347001033417,0.9951322751322751
